1900, 3, 32, 165
1905, 3, 33, 170
1910, 4, 34, 175
1915, 4, 35, 180
1920, 5, 36, 186
1925, 6, 37, 195
1930, 8, 38, 207
1935, 9, 40, 220
1940, 11, 42, 230
1945, 11, 43, 237
1950, 12, 45, 254
1955, 12, 48, 277
1960, 12, 50, 303
1965, 12, 53, 334
1970, 12, 57, 370
1975, 12, 59, 408
1980, 12, 61, 446
1985, 12, 63, 487
1990, 12, 64, 533
1995, 12, 65, 578
2000, 12, 66, 614
2005, 12, 68, 654
2010, 12, 70, 696
2015, 12, 72, 738
2020, 12, 73, 780
2025, 12, 75, 820
2030, 12, 76, 850
2035, 12, 77, 870
2040, 12, 80, 900
2045, 12, 71, 930
2050, 12, 72, 950
2055, 12, 83, 980
2060, 12, 84, 1000
2065, 12, 85, 1030
2070, 12, 86, 1050
